year,pct,datestop,timestop,arstmade,frisked,searched,sex,race,age,ht_feet,ht_inch,weight,haircolr,eyecolor,build,othfeatr,city
2016,41,2072016,100,N,Y,Y,M,B,48,6,2,180,BK,BR,T, ,BRONX
2016,10,2182016,30,N,N,Y,M,W,20,5,8,150,BR,BR,T, ,MANHATTAN
2016,66,1012016,30,Y,Y,Y,M,P,34,5,6,140,BK,BR,M, ,BROOKLYN
2016,47,1012016,40,N,Y,N,M,B,33,5,9,180,BK,BR,M, ,BRONX
2016,79,1012016,50,N,N,N,M,B,22,5,11,160,BK,BL,T, ,BROOKLYN
2016,73,1012016,100,N,Y,N,M,B,30,5,10,160,BK,BR,M, ,BROOKLYN
2016,43,1012016,130,N,Y,N,M,B,27,6,3,190,BK,BR,T, ,BRONX
2016,67,1012016,135,N,Y,N,M,B,35,5,11,190,BK,BR,M, ,BROOKLYN
2016,43,1012016,210,Y,Y,Y,M,B,22,5,11,170,BK,BR,M, ,BRONX
2016,73,1012016,210,N,N,N,M,B,25,6,0,150,BK,BR,T, ,BROOKLYN
2016,43,1012016,210,Y,Y,Y,M,B,14,6,0,200,BK,BR,H, ,BRONX
2016,14,1012016,220,Y,Y,Y,M,A,38,5,9,170,BK,BR,M, ,MANHATTAN
2016,41,1012016,220,N,Y,N,M,B,56,5,10,220,BK,BR,M, ,BRONX
2016,106,1012016,222,N,Y,N,M,W,50,5,9,190,BR,BL,H, ,QUEENS
2016,114,1012016,235,N,Y,N,M,P,21,6,8,215,BK,BR,H, ,QUEENS
2016,114,1012016,240,N,Y,N,M,B,23,6,2,205,BK,BR,H,NONE,QUEENS
2016,70,1012016,300,N,Y,N,M,B,32,5,9,180,BK,BR,M, ,BROOKLYN
2016,70,1012016,300,N,Y,N,M,B,25,5,11,160,BK,BR,M, ,BROOKLYN
2016,28,1012016,332,N,Y,N,M,B,24,6,3,200,BK,BR,T, ,MANHATTAN
2016,106,1012016,339,N,Y,Y,M,P,18,5,9,180,BR,BR,H, ,QUEENS
2016,90,1012016,435,N,N,N,M,B,31,5,8,155,BK,BR,M, ,BROOKLYN
2016,90,1012016,435,N,N,N,M,W,32,6,2,165,BR,HA,M, ,BROOKLYN
2016,120,1012016,436,Y,Y,N,M,B,25,5,8,170,BK,BR,M, ,STATEN IS
2016,120,1012016,436,Y,Y,N,M,Q,25,6,2,180,BR,BR,M, ,STATEN IS
2016,111,1012016,440,N,N,N,M,Q,17,5,8,115,BR,BR,T, ,QUEENS
2016,32,1012016,530,N,Y,N,M,B,26,5,9,155,BK,BR,M, ,MANHATTAN
2016,43,1012016,552,N,Y,N,M,B,38,5,8,195,BK,BR,M, ,BRONX
2016,9,1012016,805,N,N,N,M,B,32,6,2,180,BK,BR,T, ,MANHATTAN
2016,108,1012016,825,Y,Y,Y,M,W,31,5,9,200,BR,BR,M, ,QUEENS
2016,61,1012016,946,Y,N,Y,M,Q,41,5,8,150,BR,BR,T, ,BROOKLYN
2016,120,1012016,1100,N,N,N,M,B,30,5,6,120,BK,BR,M, ,STATEN IS
2016,7,1012016,1230,N,Y,N,M,B,17,5,11,160,BK,BR,T, ,MANHATTAN
2016,110,1012016,1342,Y,N,Y,M,B,64,6,1,180,BK,BR,T, ,QUEENS
2016,81,1012016,1525,N,Y,Y,M,B,21,5,5,145,BK,BK,T, ,BROOKLYN
2016,81,1012016,1535,N,Y,Y,M,B,22,5,3,150,BK,BR,M, ,BROOKLYN
2016,81,1012016,1535,N,Y,Y,M,U,16,5,9,135,BK,BK,T, ,BROOKLYN
2016,14,1012016,1645,N,Y,N,M,W,20,5,9,140,BR,BR,T, ,MANHATTAN
2016,90,1012016,1700,N,N,N,M,W,25,5,10,170,BR,BR,M, ,BROOKLYN
2016,50,1012016,1702,N,N,N,M,Q,12,5,5,130,BK,BR,T, ,BRONX
2016,79,1012016,1742,N,Y,N,M,B,20,5,7,150,BK,BR,T, ,BROOKLYN
2016,79,1012016,1745,Y,Y,N,M,B,24,5,9,170,BK,BR,T,TATTO OF C,BROOKLYN
2016,30,1012016,1958,Y,Y,Y,M,Q,34,5,9,160,BK,BR,H, ,MANHATTAN
2016,115,1012016,2012,Y,Y,Y,M,Q,29,5,10,160,BR,HA,M, ,QUEENS
2016,115,1012016,2012,Y,Y,Y,M,Q,24,6,0,180,BR,HA,T, ,QUEENS
2016,61,1012016,2030,N,N,N,F,W,22,5,5,110,BR,BR,T, ,BROOKLYN
2016,61,1012016,2030,N,N,N,M,W,26,5,8,140,BK,BR,T, ,BROOKLYN
2016,43,1012016,2055,Y,Y,Y,M,Q,29,5,10,180,XX,BR,M, ,BRONX
2016,18,1012016,2140,N,Y,N,M,P,25,5,6,150,BK,BR,T, ,MANHATTAN
2016,67,1012016,2200,N,Y,N,M,B,26,5,11,180,BK,BR,T, ,BROOKLYN
2016,67,1012016,2205,N,Y,N,M,B,28,6,3,210,BK,BR,T, ,BROOKLYN
2016,25,1012016,2210,Y,Y,Y,M,B,23,6,2,200,BR,BR,T, ,MANHATTAN
2016,17,1012016,2210,N,Y,N,M,W,23,5,8,150,BR,XX,M, ,MANHATTAN
2016,17,1012016,2210,N,Y,N,M,W,23,6,0,180,BR,BR,M, ,MANHATTAN
2016,43,1012016,2216,N,Y,Y,M,P,32,6,0,170,BK,BK,M, ,BRONX
2016,122,1012016,2220,N,Y,N,M,P,26,5,7,180,BK,BR,M, ,STATEN IS
2016,122,1012016,2220,N,Y,N,M,W,37,5,8,190,BR,BR,M, ,STATEN IS
2016,122,1012016,2220,N,Y,N,M,W,47,5,8,200,BR,BR,M, ,STATEN IS
2016,102,1012016,2230,N,Y,N,M,A,20,5,11,170,BK,BR,T, ,QUEENS
2016,67,1012016,2240,N,N,N,M,B,41,5,7,135,BK,BR,T, ,BROOKLYN
2016,43,1012016,2300,N,Y,N,M,B,17,5,11,170,BR,BR,T, ,BRONX
2016,106,1012016,2330,N,Y,N,M,B,31,5,7,170,BK,BR,M, ,QUEENS
2016,42,1012016,2340,N,Y,N,M,B,37,6,3,180,BK,BK,T, ,BRONX
2016,106,1012016,2340,N,Y,N,M,Q,21,5,9,180,BK,BR,M, ,QUEENS
2016,25,1022016,5,N,Y,N,M,B,30,5,8,180,BK,BR,M, ,MANHATTAN
2016,67,1022016,20,N,Y,N,M,B,29,5,10,170,BK,BR,M, ,BROOKLYN
2016,77,1022016,40,N,N,N,M,B,24,6,0,175,BK,BR,M, ,BROOKLYN
2016,49,1022016,45,N,Y,N,M,Q,45,5,8,160,GY,BL,T, ,BRONX
2016,90,1022016,58,N,Y,N,M,Q,52,5,11,200,GY,BR,M, ,BROOKLYN
2016,102,1022016,110,N,N,N,M,P,21,5,10,160,BK,BR,M, ,QUEENS
2016,50,1022016,140,N,N,N,M,Q,28,6,1,185,BR,BR,T, ,BRONX
2016,106,1022016,340,Y,Y,Y,F,B,24,5,6,220,BK,BR,M, ,QUEENS
2016,115,1022016,340,N,Y,Y,M,B,37,6,5,205,BA,BR,M, ,QUEENS
2016,13,1022016,1010,N,N,N,M,B,58,5,10,200,BK,BR,H, ,MANHATTAN
2016,81,1022016,1141,N,N,N,M,B,23,6,0,160,BK,BR,T, ,BROOKLYN
2016,109,1022016,1230,Y,N,Y,M,B,69,5,7,140,BA,BR,T, ,QUEENS
2016,44,1022016,1313,N,Y,N,M,Q,37,5,8,170,BK,BR,M, ,BRONX
2016,14,1022016,1330,N,Y,Y,M,W,52,5,11,180,BK,BR,T, ,MANHATTAN
2016,61,1022016,1525,N,Y,N,M,B,18,6,0,145,BK,BR,T, ,BROOKLYN
2016,61,1022016,1525,N,Y,N,M,B,15,6,0,160,BK,BR,M, ,BROOKLYN
2016,61,1022016,1525,N,Y,N,M,Q,17,5,8,170,BR,BR,H, ,BROOKLYN
2016,61,1022016,1525,N,Y,N,M,W,17,5,9,135,BR,BR,M, ,BROOKLYN
2016,20,1022016,1600,N,Y,N,M,B,19,5,11,175,BK,BR,T, ,MANHATTAN
2016,90,1022016,1612,Y,Y,Y,M,B,57,5,6,170,BA,BR,M, ,BROOKLYN
2016,90,1022016,1612,Y,Y,N,M,B,52,6,2,276,BK,BR,H, ,BROOKLYN
2016,13,1022016,1619,N,Y,Y,M,W,23,5,8,185,BK,BR,M, ,MANHATTAN
2016,10,1022016,1635,N,Y,N,M,W,29,5,10,175,BR,HA,T, ,MANHATTAN
2016,121,1022016,1645,N,N,N,F,B,35,5,6,275,BK,BR,H, ,STATEN IS
2016,122,1022016,1730,N,Y,N,M,Q,45,5,6,180,BR,BR,M, ,STATEN IS
2016,122,1022016,1730,N,Y,N,M,Q,20,5,7,160,BR,BR,T, ,STATEN IS
2016,122,1022016,1730,N,Y,N,M,W,49,6,0,185,BR,HA,M, ,STATEN IS
2016,84,1022016,1818,N,Y,N,M,W,41,6,2,200,BK,BR,M, ,BROOKLYN
2016,67,1022016,1830,N,Y,Y,M,B,52,5,2,250,BA,BR,M, ,BROOKLYN
2016,42,1022016,1840,Y,Y,Y,M,P,51,5,5,130,GY,BR,Z,SKINNY,BRONX
2016,32,1022016,1855,N,Y,N,M,Q,24,5,10,200,BK,BR,M, ,MANHATTAN
2016,66,1022016,1900,N,Y,N,M,B,19,5,3,150,BK,BK,T, ,BROOKLYN
2016,66,1022016,1900,N,Y,Y,M,B,**,5,11,150,BK,BR,T, ,BROOKLYN
2016,66,1022016,1914,Y,Y,Y,M,A,35,5,9,165,BK,BK,T, ,BROOKLYN
2016,66,1022016,1915,N,Y,N,M,W,35,5,10,200,BR,BK,M, ,BROOKLYN
2016,75,1022016,1925,N,N,N,F,Q,19,5,7,120,BK,BR,M, ,BROOKLYN
